,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Alex Pietrangelo\pietral01,D,STL,@,EDM,W,boxscore,1,2,3,1,0,0,1,0,0,0,1,1,1,100.0,30,22:12,0,0,0,0,
2,Anthony DeAngelo\deangan01,D,NYR,,DET,W,boxscore,1,1,2,1,0,0,1,0,0,1,0,0,4,25.0,19,17:02,0,0,0,0,
3,Artemi Panarin\panarar01,LW,NYR,,DET,W,boxscore,1,1,2,1,0,1,0,0,0,0,1,0,1,100.0,20,16:43,0,0,0,0,
4,Jaden Schwartz\schwaja01,C,STL,@,EDM,W,boxscore,1,1,2,1,0,0,1,0,0,1,0,0,1,100.0,22,17:49,0,0,0,0,
5,Ryan Strome\stromry01,C,NYR,,DET,W,boxscore,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,22,17:43,0,0,7,10,41.2
6,Connor McDavid\mcdavco01,C,EDM,,STL,L,boxscore,1,1,2,-2,0,0,1,0,0,1,0,0,7,14.3,22,21:42,0,0,0,4,0.0
7,Pavel Buchnevich\buchnpa01,LW,NYR,,DET,W,boxscore,0,2,2,0,0,0,0,0,0,1,1,0,1,0.0,17,16:01,1,0,0,0,
8,Leon Draisaitl\draisle01,C,EDM,,STL,L,boxscore,0,2,2,-1,2,0,0,0,0,1,1,0,3,0.0,22,23:26,0,1,11,6,64.7
9,Tyler Bozak\bozakty01,C,STL,@,EDM,W,boxscore,1,0,1,1,0,0,0,1,0,0,0,0,2,50.0,19,13:49,0,1,8,5,61.5
10,Greg McKegg\mckeggr01,C,NYR,,DET,W,boxscore,1,0,1,1,0,0,0,1,0,0,0,0,2,50.0,15,10:00,0,0,3,3,50.0
11,Robert Thomas\thomaro01,C,STL,@,EDM,W,boxscore,1,0,1,1,2,1,0,0,1,0,0,0,1,100.0,17,16:21,3,0,1,2,33.3
12,Ivan Barbashev\barbaiv01,C,STL,@,EDM,W,boxscore,1,0,1,0,0,0,0,1,0,0,0,0,2,50.0,20,15:21,3,0,2,2,50.0
13,Valtteri Filppula\filppva01,C,DET,@,NYR,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,24,19:08,0,1,8,10,44.4
14,Zack Kassian\kassiza01,RW,EDM,,STL,L,boxscore,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,18,13:47,3,0,0,0,
15,Chris Kreider\kreidch01,LW,NYR,,DET,W,boxscore,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,19,19:50,0,2,2,1,66.7
16,Carl Gunnarsson\gunnaca01,D,STL,@,EDM,W,boxscore,0,1,1,1,0,0,0,0,0,0,0,1,0,,23,15:10,0,4,0,0,
17,Brett Howden\howdebr01,C,NYR,,DET,W,boxscore,0,1,1,1,0,0,0,0,0,0,0,1,0,,21,17:46,3,0,5,12,29.4
18,Ryan O'Reilly\oreilry01,C,STL,@,EDM,W,boxscore,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,26,20:31,0,1,14,7,66.7
19,Colton Parayko\parayco01,D,STL,@,EDM,W,boxscore,0,1,1,1,0,0,0,0,0,0,0,1,4,0.0,28,21:50,0,1,0,0,
20,Brayden Schenn\schenbr01,C,STL,@,EDM,W,boxscore,0,1,1,1,2,0,0,0,0,0,1,0,0,,21,18:36,2,0,5,3,62.5
21,Marc Staal\staalma01,D,NYR,,DET,W,boxscore,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,18:19,1,4,0,0,
22,Jacob Trouba\troubja01,D,NYR,,DET,W,boxscore,0,1,1,1,2,0,0,0,0,0,0,1,2,0.0,24,19:41,0,2,0,0,
23,Justin Faulk\faulkju01,D,STL,@,EDM,W,boxscore,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,28,21:38,2,2,0,0,
24,Adam Fox\foxad01,D,NYR,,DET,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,19:56,0,0,0,0,
25,Brendan Lemieux\lemiebr01,LW,NYR,,DET,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,0,,19,17:22,3,3,0,0,
26,David Perron\perroda01,LW,STL,@,EDM,W,boxscore,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,21,16:40,1,0,0,0,
27,Andreas Athanasiou\athanan01,C,DET,@,NYR,L,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,5,0.0,25,19:40,2,1,1,1,50.0
28,Anthony Mantha\manthan01,RW,DET,@,NYR,L,boxscore,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,22,20:07,1,0,1,0,100.0
29,Brady Skjei\skjeibr01,D,NYR,,DET,W,boxscore,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,19,18:45,2,0,0,0,
30,Ethan Bear\bearet01,D,EDM,,STL,L,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,20:58,0,4,0,0,
31,Alex Biega\biegaal01,D,DET,@,NYR,L,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,8:25,1,0,0,0,
32,Jay Bouwmeester\bouwmja01,D,STL,@,EDM,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,22:26,2,0,0,0,
33,Jesper Fast\fastje01,RW,NYR,,DET,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,14:16,0,2,0,0,
34,Joe Hicketts\hickejo01,D,DET,@,NYR,L,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,19:09,2,3,0,0,
35,Justin Abdelkader\abdelju01,LW,DET,@,NYR,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,14:23,2,0,2,5,28.6
36,Sammy Blais\blaissa01,LW,STL,@,EDM,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:10,1,0,0,0,
37,Madison Bowey\boweyma01,D,DET,@,NYR,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,20:57,0,1,0,0,
38,Colby Cave\caveco01,C,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:20,2,0,2,5,28.6
39,Filip Chytil\chytifi01,C,NYR,,DET,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,17:55,0,0,7,7,50.0
40,Vince Dunn\dunnvi02,D,STL,@,EDM,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,14:36,0,1,0,0,
41,Christoffer Ehn\ehnch01,C,DET,@,NYR,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:06,1,0,3,0,100.0
42,Sam Gagner\gagnesa01,C,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,15:37,0,0,0,0,
43,Gaetan Haas\haasga01,F,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:06,0,2,5,8,38.5
44,Micheal Haley\haleymi01,C,NYR,,DET,W,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,11,6:17,0,0,0,0,
45,Darren Helm\helmda01,C/LW,DET,@,NYR,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:22,0,0,1,0,100.0
46,Tomas Jurco\jurcoto01,RW,EDM,,STL,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,11:50,0,0,1,1,50.0
47,Kaapo Kakko\kakkoka01,RW,NYR,,DET,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,19:32,1,0,0,0,
48,Jujhar Khaira\khairju01,LW,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:55,2,0,0,0,
49,Brandon Manning\mannibr01,D,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:23,1,2,0,0,
50,Patrik Nemeth\nemetpa01,D,DET,@,NYR,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:20,1,1,0,0,
51,Darnell Nurse\nurseda01,D,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,20:45,0,4,0,0,
52,Brendan Perlini\perlibr01,LW,DET,@,NYR,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,13:43,2,0,0,0,
53,Kris Russell\russekr01,D,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:03,0,1,0,0,
54,Patrick Russell\russepa01,RW,EDM,,STL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:12,1,0,0,0,
55,Zach Sanford\sanfoza01,LW,STL,@,EDM,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:15,0,0,0,0,
56,Brendan Smith\smithbr05,D,NYR,,DET,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:11,1,0,0,0,
57,Alex Steen\steenal01,C,STL,@,EDM,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:34,0,0,2,0,100.0
58,Oskar Sundqvist\sundqos01,C,STL,@,EDM,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,13:40,1,1,4,3,57.1
59,Matt Benning\bennima01,D,EDM,,STL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,16:31,0,1,0,0,
60,Adam Erne\ernead01,LW,DET,@,NYR,L,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,16,14:02,2,0,0,0,
61,Libor Hajek\hajekli01,D,NYR,,DET,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,19:48,1,2,0,0,
62,Taro Hirose\hirosta01,LW,DET,@,NYR,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,12:07,0,0,0,0,
63,Filip Hronek\hronefi01,D,DET,@,NYR,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:38,0,1,0,0,
64,Mackenzie MacEachern\maceama01,LW,STL,@,EDM,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,7:53,1,0,0,0,
65,Dylan McIlrath\mcilrdy01,D,DET,@,NYR,L,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,13:06,0,1,0,0,
66,Tyler Bertuzzi\bertuty01,LW,DET,@,NYR,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,22,20:45,1,0,0,0,
67,Alex Chiasson\chiasal01,RW,EDM,,STL,L,boxscore,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,15,13:23,0,1,0,0,
68,Oscar Klefbom\klefbos01,D,EDM,,STL,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,27,25:36,1,3,0,0,
69,Dylan Larkin\larkidy01,C,DET,@,NYR,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,27,24:59,1,1,17,8,68.0
70,Ryan Nugent-Hopkins\nugenry01,C,EDM,,STL,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,20:08,0,1,3,11,21.4
71,Dennis Cholowski\cholode01,D,DET,@,NYR,L,boxscore,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,18,17:40,1,2,0,0,
72,James Neal\nealja01,LW,EDM,,STL,L,boxscore,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,20,18:23,0,0,0,1,0.0