Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,=1,=3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Capitals,9-2-3,1-0,2-3,2-1-2,7-1-1,4-0-1,5-2-2,2-0-0,2-0-1,3-2-1,2-0-1,5-1-3,2-1-0,9-2-3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2,Boston Bruins,9-1-2,0-1,0-1,5-0-1,4-1-1,3-0-2,6-1-0,1-0-2,2-0-0,2-1-0,4-0-0,3-0-2,4-0-0,9-1-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
3,Buffalo Sabres,9-2-2,1-1,2-1,5-0-1,4-2-1,5-1-1,4-1-1,3-0-0,2-1-1,1-0-0,3-1-1,4-0-2,3-2-0,9-2-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
4,Edmonton Oilers,9-4-1,1-1,1-0,5-1-0,4-3-1,7-2-0,2-2-1,1-2-0,6-0-0,0-2-1,2-0-0,5-0-1,4-2-0,9-4-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
5,Colorado Avalanche,8-2-2,0-0,2-2,4-1-1,4-1-1,4-0-2,4-2-0,3-0-1,1-0-1,1-1-0,3-1-0,2-0-2,3-1-0,8-2-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
6,Carolina Hurricanes,8-3-1,1-0,2-1,5-1-0,3-2-1,5-1-1,3-2-0,3-0-0,2-1-1,1-0-0,2-2-0,4-1-1,3-1-0,8-3-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
7,Nashville Predators,8-3-1,0-1,1-0,6-1-1,2-2-0,2-1-1,6-2-0,1-1-1,1-0-0,3-0-0,3-2-0,2-0-1,6-2-0,8-3-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
8,Vancouver Canucks,8-3-1,2-1,0-0,4-0-1,4-3-0,5-1-1,3-2-0,3-0-0,2-1-1,1-0-0,2-2-0,3-2-1,4-1-0,8-3-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
9,St. Louis Blues,7-3-3,0-1,1-2,4-1-2,3-2-1,3-3-2,4-0-1,3-3-0,0-0-2,3-0-0,1-0-1,4-0-3,1-3-0,7-3-3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
10,Anaheim Ducks,8-6-0,0-0,0-0,5-1-0,3-5-0,4-2-0,4-4-0,2-1-0,2-1-0,2-2-0,2-2-0,2-3-0,3-2-0,8-6-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
11,New York Islanders,8-3-0,1-0,2-0,5-2-0,3-1-0,4-2-0,4-1-0,2-0-0,2-2-0,3-0-0,1-1-0,3-1-0,1-2-0,8-3-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
12,Pittsburgh Penguins,8-5-0,0-0,1-0,5-3-0,3-2-0,2-3-0,6-2-0,0-3-0,2-0-0,5-1-0,1-1-0,2-1-0,5-2-0,8-5-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
13,Vegas Golden Knights,8-5-0,2-0,0-0,4-3-0,4-2-0,2-2-0,6-3-0,1-1-0,1-1-0,1-2-0,5-1-0,2-1-0,6-4-0,8-5-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
14,Florida Panthers,6-3-4,1-3,1-1,2-1-1,4-2-3,3-2-2,3-1-2,1-1-1,2-1-1,2-0-1,1-1-1,3-0-4,1-3-0,6-3-4,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
15,Arizona Coyotes,7-4-1,1-0,1-1,3-2-0,4-2-1,4-3-0,3-1-1,2-2-0,2-1-0,2-0-1,1-1-0,2-2-1,3-1-0,7-4-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
16,Toronto Maple Leafs,6-5-3,0-1,1-2,4-2-3,2-3-0,4-4-3,2-1-0,3-3-1,1-1-2,1-1-0,1-0-0,1-2-3,3-2-0,6-5-3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
17,Calgary Flames,6-6-2,2-0,0-2,4-1-1,2-5-1,3-2-0,3-4-2,2-0-0,1-2-0,1-1-1,2-3-1,3-1-2,2-2-0,6-6-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
18,Montreal Canadiens,6-4-2,1-1,0-1,3-3-0,3-1-2,2-2-2,4-2-0,2-2-1,0-0-1,3-1-0,1-1-0,1-1-2,5-0-0,6-4-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
19,Tampa Bay Lightning,6-4-2,1-0,1-2,2-1-1,4-3-1,6-3-1,0-1-1,4-2-0,2-1-1,0-1-1,0-0-0,3-1-2,2-2-0,6-4-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
20,Winnipeg Jets,6-7-0,2-0,2-0,3-4-0,3-3-0,2-4-0,4-3-0,0-0-0,2-4-0,2-0-0,2-3-0,4-1-0,2-3-0,6-7-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
21,Columbus Blue Jackets,5-5-2,0-0,3-2,3-3-1,2-2-1,4-3-1,1-2-1,2-1-0,2-2-1,1-0-1,0-2-0,5-1-2,0-4-0,5-5-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
22,Dallas Stars,5-8-1,0-1,1-0,3-3-1,2-5-0,3-7-0,2-1-1,1-3-0,2-4-0,1-1-0,1-0-1,3-4-1,2-3-0,5-8-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
23,Philadelphia Flyers,5-5-1,0-1,0-0,4-1-0,1-4-1,2-2-0,3-3-1,0-0-0,2-2-0,2-1-0,1-2-1,1-0-1,4-3-0,5-5-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
24,Detroit Red Wings,4-8-1,0-0,0-1,2-4-1,2-4-0,1-3-0,3-5-1,1-3-0,0-0-0,2-0-1,1-5-0,1-1-1,0-5-0,4-8-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
25,New York Rangers,4-5-1,0-0,0-1,3-3-1,1-2-0,3-3-0,1-2-1,3-1-0,0-2-0,1-0-0,0-2-1,0-1-1,3-4-0,4-5-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
26,San Jose Sharks,4-8-1,0-0,0-1,2-2-0,2-6-1,2-4-1,2-4-0,1-4-1,1-0-0,1-1-0,1-3-0,1-1-1,1-6-0,4-8-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
27,Los Angeles Kings,4-9-0,0-0,1-0,2-4-0,2-5-0,0-2-0,4-7-0,0-1-0,0-1-0,2-3-0,2-4-0,2-1-0,2-6-0,4-9-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
28,Minnesota Wild,4-9-0,0-0,0-0,3-1-0,1-8-0,2-3-0,2-6-0,2-2-0,0-1-0,0-6-0,2-0-0,1-1-0,2-6-0,4-9-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
29,Chicago Blackhawks,3-6-2,0-1,1-1,3-3-2,0-3-0,1-4-0,2-2-2,0-0-0,1-4-0,0-1-1,2-1-1,1-2-2,1-3-0,3-6-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
30,Ottawa Senators,3-7-1,0-1,0-0,3-4-0,0-3-1,2-3-0,1-4-1,2-1-0,0-2-0,0-3-0,1-1-1,0-1-1,2-2-0,3-7-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
31,New Jersey Devils,2-5-3,0-2,0-1,2-2-3,0-3-0,1-4-1,1-1-2,0-3-1,1-1-0,0-0-1,1-1-1,1-0-3,1-3-0,2-5-3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0